version,date,predicted_close
1,2025-09-14,108220.43
1,2025-09-15,109423.84
1,2025-09-16,110864.3
1,2025-09-17,112335.03
1,2025-09-18,113676.45
2,2025-09-14,108330.87
2,2025-09-15,109693.97
2,2025-09-16,111188.61
2,2025-09-17,112507.77
2,2025-09-18,113459.82
3,2025-09-14,105999.08
3,2025-09-15,106923.04
3,2025-09-16,108327.38
3,2025-09-17,109997.33
3,2025-09-18,111740.09
4,2025-09-14,110187.96
4,2025-09-15,111327.11
4,2025-09-16,112761.21
4,2025-09-17,114267.01
4,2025-09-18,115670.48
5,2025-09-14,111009.95
5,2025-09-15,112095.52
5,2025-09-16,113552.84
5,2025-09-17,115172.14
5,2025-09-18,116787.52
